ticker,name,exchange,category name,country
BCP-R.BK,Bangchak Corporation Public Company Limited,SET,,Thailand
BDMS.BK,Bangkok Dusit Medical Services Public Company Limited,SET,,Thailand
BDMS-R.BK,Bangkok Dusit Medical Services Public Company Limited,SET,,Thailand
BECL.BK,Bangkok Expressway Public Company Limited,SET,,Thailand
BEM.BK,Bangkok Expressway and Metro Public Company Limited,SET,,Thailand
BEAUTY-R.BK,Beauty Community Public Company Limited,SET,,Thailand
BEC-R.BK,BEC World Public Company Limited,SET,,Thailand
BFIT.BK,Srisawad Finance Public Company Limited,SET,,Thailand
BFIT-R.BK,Srisawad Finance Public Company Limited,SET,,Thailand
BGT.BK,BGT Corporation Public Company Limited,SET,,Thailand
BGT-R.BK,BGT Corporation Public Company Limited,SET,,Thailand
BH-R.BK,Bumrungrad Hospital Public Company Limited,SET,,Thailand
BH.BK,Bumrungrad Hospital Public Company Limited,SET,,Thailand
BIGC.BK,Big C Supercenter Public Company Limited,SET,,Thailand
BIG-R.BK,SunWood Industries Public Company Limited,SET,,Thailand
BIG.BK,Big Camera Corporation Public Company Limited,SET,,Thailand
BIGC-R.BK,Big C Supercenter Public Company Limited,SET,,Thailand
BJC.BK,Berli Jucker Public Company Limited,SET,,Thailand
BJC-R.BK,Berli Jucker Public Company Limited,SET,,Thailand
BJCHI.BK,BJC Heavy Industries Public Company Limited,SET,,Thailand
BJCHI-R.BK,BJC Heavy Industries Public Company Limited,SET,,Thailand
BKI-R.BK,Bangkok Insurance Public Company Limited,SET,,Thailand
BKD.BK,Bangkok Dec - Con Public Company Limited,SET,,Thailand
BKI.BK,Bangkok Insurance Public Company Limited,SET,,Thailand
BKD-R.BK,Bangkok Dec - Con Public Company Limited,SET,,Thailand
BKKCP.BK,Bangkok Commercial Property Fund,SET,,Thailand
BLAND-R.BK,Bangkok Land Public Company Limited,SET,,Thailand
BLISS.BK,BLISS-TEL PUBLIC COMPANY LIMITE,SET,,Thailand
BLAND.BK,Bangkok Land Public Company Limited,SET,,Thailand
BLISS-R.BK,BLISS-TEL PUBLIC COMPANY LIMITE,SET,,Thailand
BMCL.BK,Bangkok Metro Public Company Limited,SET,,Thailand
BOL-R.BK,Business Online Public Company Limited,SET,,Thailand
BOL.BK,Business Online Public Company Limited,SET,,Thailand
BROCK-R.BK,Baan Rock Garden Public Company Limited,SET,,Thailand
BROOK.BK,The Brooker Group Public Company Limited,SET,,Thailand
BRR-R.BK,Buriram Sugar Public Company Limited,SET,,Thailand
BROCK.BK,Baan Rock Garden Public Company Limited,SET,,Thailand
BSM-R.BK,BuilderSmart Public Company Limited,SET,,Thailand
BSBM.BK,Bangsaphan Barmill Public Company Limited,SET,,Thailand
BSM.BK,BuilderSmart Public Company Limited,SET,,Thailand
BSBM-R.BK,Bangsaphan Barmill Public Company Limited,SET,,Thailand
BTS.BK,BTS Group Holdings Public Company Limited,SET,,Thailand
BTC.BK,Bangpakong Terminal Public Company Limited,SET,,Thailand
BTC-R.BK,Bangpakong Terminal Public Company Limited,SET,,Thailand
BTS-R.BK,BTS Group Holdings Public Company Limited,SET,,Thailand
BTNC-R.BK,Boutique Newcity Public Company Limited,SET,,Thailand
BTNC.BK,Boutique Newcity Public Company Limited,SET,,Thailand
BTSGIF.BK,BTS Rail Mass Transit Growth Infrastructure Fund,SET,,Thailand
CMR.BK,Chiang Mai Ram Medical Business Public Company Limited,SET,,Thailand
SBPF.BK,Samui buri Property Fund,SET,,Thailand
CMR-R.BK,Chiang Mai Ram Medical Business Public Company Limited,SET,,Thailand
BRR.BK,Buriram Sugar Public Company Limited,SET,,Thailand
BUI.BK,Bangkok Union Insurance Public Company Limited,SET,,Thailand
BUI-R.BK,Bangkok Union Insurance Public Company Limited,SET,,Thailand
BWG.BK,Better World Green Public Company Limited,SET,,Thailand
BWG-R.BK,Better World Green Public Company Limited,SET,,Thailand
GCAP.BK,G Capital Public Company Limited,SET,,Thailand
IFS-R.BK,IFS Capital (Thailand) Public Company Limited,SET,,Thailand
CBG-R.BK,Carabao Group Public Company Limited,SET,,Thailand
CBG.BK,Carabao Group Public Company Limited,SET,,Thailand
CCET-R.BK,Cal-Comp Electronics (Thailand) Public Company Limited,SET,,Thailand
CCN-R.BK,Sky ICT Public Company Limited,SET,,Thailand
CCN.BK,Sky ICT Public Company Limited,SET,,Thailand
CCP-R.BK,Chonburi Concrete Product Public Company Limited,SET,,Thailand
CCP.BK,Chonburi Concrete Product Public Company Limited,SET,,Thailand
CCET.BK,Cal-Comp Electronics (Thailand) Public Company Limited,SET,,Thailand
CEN-R.BK,Capital Engineering Network Public Company Limited,SET,,Thailand
CENTEL.BK,Central Plaza Hotel Public Company Limited,SET,,Thailand
LHSC.BK,LH Shopping Centers Leasehold Real Estate Investment Trust,SET,,Thailand
CEI.BK,Advanced Connection Corporation Public Company Limited,SET,,Thailand
CEI-R.BK,Advanced Connection Corporation Public Company Limited,SET,,Thailand
CPICO.BK,CPICO.BK,SET,,Thailand
TUCC-R.BK,THAI UNIQUE COIL CENTER PUBLIC,SET,,Thailand
TUCC.BK,THAI UNIQUE COIL CENTER PUBLIC,SET,,Thailand
CEN.BK,Capital Engineering Network Public Company Limited,SET,,Thailand
CENTEL-R.BK,Central Plaza Hotel Public Company Limited,SET,,Thailand
CFRESH-R.BK,Seafresh Industry Public Company Limited,SET,,Thailand
CFRESH.BK,Seafresh Industry Public Company Limited,SET,,Thailand
CGD.BK,Country Group Development Public Company Limited,SET,,Thailand
CGD-R.BK,Country Group Development Public Company Limited,SET,,Thailand
CGH.BK,Country Group Holdings Public Company Limited,SET,,Thailand
CGH-R.BK,Country Group Holdings Public Company Limited,SET,,Thailand
CHG.BK,Chularat Hospital Public Company Limited,SET,,Thailand
CHG-R.BK,Chularat Hospital Public Company Limited,SET,,Thailand
CHUO.BK,Chuo Senko (Thailand) Public Company Limited,SET,,Thailand
CHUO-R.BK,Chuo Senko (Thailand) Public Company Limited,SET,,Thailand
CHOW.BK,Chow Steel Industries Public Company Limited,SET,,Thailand
CIMBT.BK,CIMB Thai Bank Public Company Limited,SET,,Thailand
U-R.BK,U City Public Company Limited,SET,,Thailand
